SITE	CAMPSITE	FMSS	UTM_E_27	UTM_N_27	LON_27	LAT_27	LON_DMS_27	LAT_DMS_27	UTM_E_83	UTM_N_83	LON_83	LAT_83	LON_DMS_83	LAT_DMS_83	GPS_DATE	DATAFILE	MAX_PDOP	MAX_HDOP	UNFILT_POS	HORZ_PREC	STD_DEV	East_UTM84	Nor_UTM84
A1/A1	Sprague Lake Accessible Site	90658	448909.56600	4463133.08700	-105.60132	40.31906	"W105? 36? 04.76"""	"N40? 19? 08.6"""	448863.52107	4463342.31517	-105.60188	40.31904	"W105? 36? 06.77"""	"N40? 19? 08.54"""	9/28/2005	H092815A.cor	5.00000	2.00000	122.00000	2.00000	1.00000	448869.80698600000	4463336.90604000000
B-1/026	Arch Rocks	89126	444518.92300	4466603.63300	-105.65330	40.35004	"W105? 39? 11.87"""	"N40? 21? 00.15"""	444472.85329	4466812.94121	-105.65386	40.35003	"W105? 39? 13.88"""	"N40? 21? 00.09"""	6/27/2005	H062718A.cor	11.00000	5.00000	127.00000	2.00000	5.00000	444479.15323900000	4466807.46050000000
B-10/025	Ute Meadows	89125	444863.70800	4467984.41100	-105.64936	40.36250	"W105? 38? 57.68"""	"N40? 21? 45.01"""	444817.65878	4468193.73120	-105.64992	40.36249	"W105? 38? 59.7"""	"N40? 21? 44.95"""	8/26/2005	G082616A.cor	11.00000	7.00000	124.00000	2.00000	4.00000	444823.93906800000	4468188.24189000000
B-2-1/032	Cub Creek	89748	445835.11900	4466178.29700	-105.63776	40.34630	"W105? 38? 15.95"""	"N40? 20? 46.67"""	445789.06394	4466387.58801	-105.63832	40.34628	"W105? 38? 17.96"""	"N40? 20? 46.61"""	7/11/2005	H071116A.cor	11.00000	4.00000	128.00000	3.00000	3.00000	445795.35245500000	4466382.12347000000
B-2-2/032	Cub Creek	89748	445846.15900	4466202.00200	-105.63764	40.34651	"W105? 38? 15.49"""	"N40? 20? 47.44"""	445800.10437	4466411.29317	-105.63819	40.34649	"W105? 38? 17.5"""	"N40? 20? 47.38"""	7/11/2005	H071116A.cor	11.00000	5.00000	122.00000	3.00000	8.00000	445806.39248200000	4466405.82853000000
B-3-1/028	Fern Lake	89136	442472.54700	4465299.12500	-105.67727	40.33815	"W105? 40? 38.19"""	"N40? 20? 17.34"""	442426.43284	4465508.43817	-105.67783	40.33813	"W105? 40? 40.2"""	"N40? 20? 17.29"""	6/27/2005	H062716A.cor	11.00000	6.00000	124.00000	2.00000	18.00000	442432.77225600000	4465502.94929000000
B-3-2/028	Fern Lake	89136	442456.55700	4465273.28000	-105.67746	40.33792	"W105? 40? 38.85"""	"N40? 20? 16.5"""	442410.44232	4465482.59303	-105.67802	40.33790	"W105? 40? 40.87"""	"N40? 20? 16.44"""	6/27/2005	H062716A.cor	11.00000	6.00000	141.00000	2.00000	21.00000	442416.78221800000	4465477.10422000000
B-3-3/028	Fern Lake	89136	442421.09300	4465295.27800	-105.67788	40.33811	"W105? 40? 40.37"""	"N40? 20? 17.2"""	442374.97804	4465504.59161	-105.67844	40.33810	"W105? 40? 42.38"""	"N40? 20? 17.15"""	6/27/2005	H062716A.cor	12.00000	7.00000	129.00000	3.00000	20.00000	442381.31813100000	4465499.10228000000
B-3-4/028	Fern Lake	89136	442392.87100	4465353.73600	-105.67822	40.33864	"W105? 40? 41.58"""	"N40? 20? 19.09"""	442346.75627	4465563.05053	-105.67878	40.33862	"W105? 40? 43.6"""	"N40? 20? 19.04"""	6/27/2005	H062716A.cor	12.00000	8.00000	125.00000	3.00000	10.00000	442353.09606100000	4465557.56042000000
B-3-G/028	Fern Lake	89136	442771.92400	4465291.75300	-105.67375	40.33810	"W105? 40? 25.5"""	"N40? 20? 17.18"""	442725.81414	4465501.06325	-105.67431	40.33809	"W105? 40? 27.51"""	"N40? 20? 17.12"""	6/27/2005	H062715C.cor	6.00000	4.00000	127.00000	3.00000	4.00000	442732.14998700000	4465495.57727000000
