OBJECTID,CollarID,Date_MMDDY,Speed_mph,Heading,y,x
146732,856,11/2/2008,0,310,40.362958,-105.56125
146733,856,11/2/2008,0,215,40.363433,-105.56025
146744,856,11/2/2008,0,0,40.363683,-105.56015
146739,856,11/2/2008,0,5,40.363608,-105.560116
146735,856,11/2/2008,0,335,40.363541,-105.560108
146742,856,11/2/2008,0,10,40.3637,-105.5601
146734,856,11/2/2008,0,35,40.363541,-105.560058
146741,856,11/2/2008,0,115,40.363575,-105.560016
146743,856,11/2/2008,0,0,40.36315,-105.56
146740,856,11/2/2008,0,305,40.363408,-105.559958
146737,856,11/2/2008,0,300,40.363566,-105.559933
146738,856,11/2/2008,0,115,40.363441,-105.559741
146736,856,11/2/2008,0,205,40.363708,-105.559733
146731,856,11/2/2008,0,225,40.364508,-105.559208
146748,856,11/3/2008,0,295,40.363566,-105.560441
146763,856,11/3/2008,0,85,40.363558,-105.560283
146754,856,11/3/2008,0,210,40.363225,-105.560208
146757,856,11/3/2008,0,20,40.363483,-105.560183
146753,856,11/3/2008,0,205,40.363341,-105.56015
146749,856,11/3/2008,0,355,40.363516,-105.560141
146780,856,11/3/2008,0,225,40.363475,-105.560125
146772,856,11/3/2008,0,25,40.363425,-105.560116
146756,856,11/3/2008,0,340,40.363458,-105.5601
146761,856,11/3/2008,0,75,40.363533,-105.560091
146750,856,11/3/2008,0,315,40.36345,-105.560083
146766,856,11/3/2008,0,340,40.3635,-105.560075
146764,856,11/3/2008,0,195,40.363358,-105.560066
146751,856,11/3/2008,0,115,40.363425,-105.560058
146760,856,11/3/2008,0,285,40.363566,-105.560058
146755,856,11/3/2008,0,25,40.363491,-105.56005
146759,856,11/3/2008,0,170,40.363666,-105.560041
146776,856,11/3/2008,0,290,40.363583,-105.560033
146779,856,11/3/2008,0,205,40.363583,-105.560033
146758,856,11/3/2008,0,355,40.363591,-105.560025
146768,856,11/3/2008,0,290,40.363541,-105.560025
146767,856,11/3/2008,0,350,40.363508,-105.560016
146777,856,11/3/2008,0,295,40.363566,-105.560008
146746,856,11/3/2008,0,80,40.363575,-105.56
146769,856,11/3/2008,0,30,40.363575,-105.56
146771,856,11/3/2008,0,55,40.363616,-105.56
146774,856,11/3/2008,0,180,40.3635,-105.56
146770,856,11/3/2008,0,275,40.363558,-105.559991
146775,856,11/3/2008,0,210,40.363666,-105.559975
146752,856,11/3/2008,0,10,40.363516,-105.559966
146747,856,11/3/2008,0,10,40.363475,-105.559958
146778,856,11/3/2008,0,330,40.363483,-105.559958
146781,856,11/3/2008,0,275,40.363733,-105.559958
146765,856,11/3/2008,0,175,40.363525,-105.559941
146745,856,11/3/2008,0,335,40.363483,-105.559916
146762,856,11/3/2008,0,130,40.363441,-105.5599
146773,856,11/3/2008,0,215,40.363633,-105.559858
146782,856,11/3/2008,0,205,40.363725,-105.5598
146816,856,11/7/2008,0,245,40.415933,-105.646525
146812,856,11/7/2008,0,305,40.412341,-105.644525
146819,856,11/7/2008,1.2,290,40.410891,-105.643533
146815,856,11/7/2008,0,145,40.4123,-105.643416
146817,856,11/7/2008,0,130,40.415616,-105.642575
146818,856,11/7/2008,5.8,300,40.414458,-105.641991
146814,856,11/7/2008,0,120,40.410191,-105.640366
146811,856,11/7/2008,0,205,40.396883,-105.601283
146813,856,11/7/2008,0,140,40.36775,-105.581883
146810,856,11/7/2008,31.1,300,40.368325,-105.56495
146808,856,11/7/2008,0,335,40.366608,-105.5612
146809,856,11/7/2008,0,275,40.366616,-105.561141
