OBJECTID,INDEX_NUM,OBSERVER,SPECIES,SCIENTIFIC,TOWN,ROAD_INTER,SPECIFIC_L,COMMENTS,N_GPS_COOR,W_GPS_COOR,LAND_COVER,LAND_COV2,PROXIMITY_,LIVE_SIGHT,ROADKILL,OTHER,COUNTY_G,PLOTBY_X,PLOTBY_Y,DATE_,HOUR,LAT,LONG
1,1,EAH,Woodchuck,Marmota monax,Southeast,Rt 312,Rt 312 near onramp to westbound I-84,,data_nad27.shp,data_nad27.shp,,,n/a,0,1,0,PUTNAM,614847.8634,4587000.366,5/29/2000,1100,41.42635991,-73.62553553
2,2,SI Advanc,Common raccoon,Procyon lotor,Richmond,Tompkins Ave.,"Tompkins Ave, Clifton","Raccoon found on road, rescues by authorities; artic",data_nad27.shp,data_nad27.shp,Urban,,n/a,1,0,0,Richmond,578071.5725,4496935.257,6/17/2000,0,40.61955844,-74.07699154
3,3,EAH,Eastern cottontail,Sylvilagus floridanus,Richmond,Sharrott's Rd.,"Clay Pit Pond State Park Preserve, near Sharrott's Pond",,40 32 09.77,74 13 34.14,mowed grass,successional woods,n/a,1,0,0,Richmond,565532.3097,4487538.352,6/18/2000,1145,40.536,-74.2262
4,4,EAH,Eastern chipmunk,Tamias striatus,Richmond,Sharrott's Rd.,"Sharrott's Rd, west of NYS 440 near Clay Pit park",,40 32 11.67,74 13 35.36,successional woods,residential,n/a,1,0,0,Richmond,565506.3184,4487604.731,6/18/2000,1130,40.5366,-74.2265
5,5,EAH,Eastern gray squirrel,Sciurus carolinensis,Mamaroneck,Saxon Woods Park,Saxon Woods Park off Mamaroneck Rd.,,40 58 37.57,73 44 44.28,Maple-Oak forest,,n/a,1,0,0,Westchester,605534.6634,4536972.583,6/19/2000,1600,40.9771,-73.7456
6,6,EAH,Virginia opossum,Didelphis virginiana,Richmond,Travis Ave.,"Travis Ave, ~100 ft. south of Victory Blvd.",Point taken around the corner on Victory Blvd.,40 35 43.43,74 11 04.19,successional woods,residential,marshy area sout,0,1,0,Richmond,569002.8406,4494163.758,6/19/2000,1400,40.5954,-74.1845
7,7,EAH,Eastern gray squirrel,Sciurus carolinensis,White Plains,Rt 125,"US RT 125, in White Plains, near Conservatory of Music,",,41 00 11.71,73 45 47.81,suburban,,n/a,0,1,0,Westchester,604004.3159,4539859.891,6/19/2000,1550,41.0033,-73.7633
8,8,EAH,Common raccoon,Procyon lotor,Rye,Post Rd,"On Post Rd, north side of I-95 just past overpass, near",Plot on map,data_nad27.shp,data_nad27.shp,Wooded residential,,n/a,0,1,0,Westchester,609600.8531,4537164.348,6/19/2000,1600,40.97829106,-73.69724642
9,9,EAH,Eastern gray squirrel,Sciurus carolinensis,Harrison,Rt 127,Rt 127 at Union Ave in Harrison,Plot on map,data_nad27.shp,data_nad27.shp,suburban,,n/a,1,0,0,Westchester,608216.8268,4537219.804,6/19/2000,1615,40.97897521,-73.71368374
10,10,EAH,Eastern chipmunk,Tamias striatus,Mamaroneck,Saxon Woods Park,Saxon Woods Park off Mamaroneck Rd.,,40 58 37.57,73 44 44.28,Maple-Oak forest,,n/a,1,0,0,Westchester,605534.6634,4536972.583,6/19/2000,1600,40.9771,-73.7456
11,11,EAH,Eastern gray squirrel,Sciurus carolinensis,Mamaroneck,Old White Plains Rd.,"Old White Plains Rd, near Fairway Dr and Griffen Dr.",,40 58 20.12,73 45 13.67,suburban,,n/a,0,1,0,Westchester,604852.3698,4536429.848,6/19/2000,1535,40.9723,-73.7538
12,12,EAH,Eastern gray squirrel,Sciurus carolinensis,North Salem,Rt 121,"Rt 121, .4 mi south of Putnam Co line",Plot on map,data_nad27.shp,data_nad27.shp,wooded residential,,n/a,0,1,0,Westchester,619554.7239,4579767.664,6/20/2000,900,41.36054414,-73.57064945
13,13,EAH,Common raccoon,Procyon lotor,North Salem,Rt 121,"Rt 121 near Rt 138, Hawley Rd.",Point taken .2mi north of sighting,41 19 06.7,73 35 25.8,wooded residential,,n/a,0,1,0,Westchester,617970.1896,4575072.72,6/20/2000,850,41.3185,-73.5905
14,14,EAH,Virginia opossum,Didelphis virginiana,La Grange,Rt 33,Rt 33 just south of Rt 21,,41 38 25.78,73 47 35.95,open fields/crops,some houses,n/a,0,1,0,Dutchess,600497.4266,4610565.842,6/20/2000,1015,41.6405,-73.7933
15,15,EAH,Long-tailed weasel,Mustela frenata,Lewisboro,Rt 121,"Rt 121, near village of Cross River (north of it)",Photographed:exp 14; specimen collected,41 17 04.52,73 36 44.27,SNH,marsh across road,,0,1,0,Westchester,616205.7345,4571279.744,6/20/2000,830,41.2846,-73.6123
16,16,EAH,Eastern gray squirrel,Sciurus carolinensis,Kent,Rt 301,"Rt 301, just east of Old Rt 301",,41 27 01.13,73 44 38.69,Oak forest,reservoir,reservoir,0,1,0,Putnam,604902.0493,4589507.73,6/20/2000,1100,41.4503,-73.7441
17,17,EAH,Virginia opossum,Didelphis virginiana,Lewisboro,Rt 121,"Rt 121, ~1 mi north of Rt 35",,41 16 53.75,73 36 43.37,wooded residential,,n/a,0,1,0,Westchester,616236.1815,4570947.087,6/20/2000,820,41.2816,-73.612
18,18,EAH,Eastern gray squirrel,Sciurus carolinensis,Southeast,Rt 202,"Rt 202, .2mi east of junction with Rt 121",Plot on map,data_nad27.shp,data_nad27.shp,SNH,,n/a,0,1,0,Putnam,618820.9502,4582482.952,6/20/2000,910,41.38510359,-73.57888743
19,19,EAH,Eastern gray squirrel,Sciurus carolinensis,Southeast,Rt 84,"I-84, ~.1 mi east of exit 21 for Rt 6/202",Plot on map,data_nad27.shp,data_nad27.shp,SNH along road,,n/a,0,1,0,Putnam,618951.653,4582324.886,6/20/2000,915,41.38366092,-73.57735571
20,20,EAH,Woodchuck,Marmota monax,La Grange,Rt 21,Rt 21 at LaGrange town line,Point taken ~20 feet away from sighting,41 39 01.67,73 44 36.6,residential,,n/a,0,1,0,Dutchess,604628.8083,4611735.341,6/20/2000,1001,41.6505,-73.7435
21,21,EAH,Red fox,Vulpes vulpes,Southeast,Maple Rd.,"Maple Rd, along Middle Branch reservoir at Enoch Crosby",Point taken ~100 ft from road where fox was spotted,41 24 19.78,73 38 46.29,SNH,old field,,1,0,0,Putnam,613157.3409,4584657.261,6/20/2000,1200,41.4055,-73.6462
22,22,EAH,Common raccoon,Procyon lotor,Warwick,Rt 17A,Rt 17A just north of village of Warwick,,41 15 57.48,74 21 19.32,residential,,n/a,0,1,0,Orange,553993.4634,4568486.596,6/20/2000,1615,41.266,-74.3554
23,23,EAH,Eastern cottontail,Sylvilagus floridanus,Southeast,Maple Rd.,"Maple Rd, along Middle Branch reservoir at Enoch Crosby",,41 24 19.78,73 38 46.29,SNH,"house, lawn",,1,0,0,Putnam,613157.3409,4584657.261,6/20/2000,1200,41.4055,-73.6462
24,24,EAH,Eastern gray squirrel,Sciurus carolinensis,Warwick,Rt 17A,Rt 17A near Rt 210 in Greenwood Lake,,41 13 26.10,74 17 00.08,residential,,n/a,0,1,0,Orange,560062.9603,4563860.102,6/20/2000,1600,41.2239,-74.2834
25,25,EAH,White-tailed deer,Odocoileus virginianus,Southeast,Maple Rd.,"Maple Rd, along Middle Branch reservoir at Enoch Crosby",,41 24 19.78,73 38 46.29,SNH,"house, lawn",,1,0,0,Putnam,613157.3409,4584657.261,6/20/2000,1200,41.4055,-73.6462
26,26,EAH,Woodchuck,Marmota monax,Southeast,Maple Rd.,"Maple Rd, along Middle Branch reservoir at Enoch Crosby",,41 24 19.78,73 38 46.29,SNH,"house, lawn",,1,0,0,Putnam,613157.3409,4584657.261,6/20/2000,1200,41.4055,-73.6462
27,27,EAH,Striped skunk,Mephitis mephitis,Southeast,Maple Rd.,"Maple Rd, along Middle Branch reservoir at Enoch Crosby",,41 24 19.78,73 38 46.29,SNH,"house, lawn",,1,0,0,Putnam,613157.3409,4584657.261,6/20/2000,1200,41.4055,-73.6462
