GHCN ID,Station Name,County,State,Elevation,Latitude,Longitude,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb
USC00051660,CLIMAX,LAKE,Colorado,11341,39.37,-106.19,33,31,31,41,44,45,44,44,46,49,46,42,50,52,47,48,46,45,45,44,46,46,42,42,42,42,40,41
US1COPK0015,FAIRPLAY 2.7 WNW,PARK,Colorado,10391,39.23,-106.05,16.5,16.5,16.5,20.5,20,21.5,21.5,21,21,20.5,20.5,20,20.5,21.5,21.5,21.5,21.5,23.5,23.5,23,23.5,23.5,23,23.5,26,24.5,24,24
US1COPK0078,FAIRPLAY 2.7 SW,PARK,Colorado,10218,39.2,-106.04,M,M,M,M,M,M,M,M,M,M,M,M,M,9,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00051186,CABIN CREEK,CLEAR CREEK,Colorado,10017,39.66,-105.71,6,5,5,11,11,13,14,14,13,12,12,12,12,16,14,14,14,17,16,15,17,17,16,16,16,16,16,16
US1COSU0067,BRECKENRIDGE 1.9 SSE,SUMMIT,Colorado,9885,39.48,-106.03,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2.5,M,M
USC00050825,BONHAM RESERVOIR,MESA,Colorado,9850,39.1,-107.9,46,M,M,M,M,M,M,M,M,46,M,M,M,M,M,62,62,M,M,M,56,M,M,52,M,50,M,M
USC00058064,SUGARLOAF RESERVOIR,LAKE,Colorado,9735,39.25,-106.37,15,15,15,24,23,22,21,24,23,22,23,M,M,M,M,25,24,26,25,24,23,24,23,23,22,M,M,M
US1COLK0010,LEADVILLE 6.3 S,LAKE,Colorado,9706,39.16,-106.28,4.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
USC00057450,SANTA MARIA RESERVOIR,MINERAL,Colorado,9702,37.82,-107.11,5,5,5,5,5,6,5,5,4,4,3,3,3,4,4,6,6,6,6,6,6,6,5,4,4,4,4,4
US1COSU0006,SILVERTHORNE 2.1 WSW,SUMMIT,Colorado,9682,39.62,-106.1,18.6,17,15.4,22.2,23.8,24.9,M,21.6,20.6,21.5,20.8,21.2,25.6,25.2,24.4,23.5,24.4,24.9,24.2,23.4,26.6,24.6,22.8,22.7,24.4,23.4,24.7,24.2
US1COGN0018,CRESTED BUTTE 6.2 N,GUNNISON,Colorado,9604,38.96,-106.99,33,32.5,32,36.5,35,36,34.5,34,32.5,42,44,45,52,56,54,54.5,52.5,51,50,48.5,47.5,46,45.5,44.5,44,43.5,43,42.5
US1COTL0019,FLORISSANT 5.0 N,TELLER,Colorado,9552,39.0,-105.29,0.5,0.5,0.5,2.5,1.5,1.5,1,0.5,0,0,0,0,0,1,1,1,1,3.5,2.5,1.5,1.5,1,0.5,0,3,2,1,0.5
US1COCS0031,FORT GARLAND 13.3 E,COSTILLA,Colorado,9539,37.45,-105.19,18,M,M,M,M,M,M,M,M,M,M,M,M,M,18,M,M,M,0,M,M,12.8,M,M,M,M,M,M
US1COPK0067,GUFFEY 5.5 W,PARK,Colorado,9502,38.75,-105.62,2.5,2.3,1.5,0.3,0,0,0,0,0,0,0,0,0,0,2.4,1.9,3.4,3.1,2.8,2.4,2.3,0,0,0,0,2.5,0,0
US1COTL0029,DIVIDE 1.0 E,TELLER,Colorado,9438,38.93,-105.13,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2.4,M,M,M,M,M,M,M,M,M,M,M
US1COTL0037,DIVIDE 5.2 SSW,TELLER,Colorado,9399,38.86,-105.18,M,M,M,T,M,M,M,M,M,M,M,M,M,M,1,M,1,M,4.5,M,M,M,M,M,M,M,M,M
